ad_id,grp,sp,Aud,Reach1+,Reach3+,Reach5+,Reach7+,Reach9+,Reach12+,Reach15+,year,Month,new_reg,after_1m,after_2m,after_3m,after_4m,after_5m,after_6m
2011월Camry여20대,11,295,189235,9.0,0.5,0.0,0.0,0.0,0.0,0.0,2020.0,11월,1.0,1.0,2.0,2.0,0.0,2.0,0.0
2011월Camry여30대,7,295,134605,5.0,0.5,0.0,0.0,0.0,0.0,0.0,2020.0,11월,11.0,7.0,12.0,8.0,32.0,6.0,0.0
2011월Camry여40대,25,295,527070,16.7,2.9,0.0,0.0,0.0,0.0,0.0,2020.0,11월,32.0,14.0,26.0,28.0,48.0,26.0,0.0
2011월Camry여50대,13,295,265787,10.1,0.6,0.0,0.0,0.0,0.0,0.0,2020.0,11월,35.0,10.0,28.0,30.0,40.0,16.0,0.0
2011월Camry여60대이상,16,295,405692,8.3,1.2,0.4,0.4,0.4,0.1,0.1,2020.0,11월,11.0,5.0,30.0,14.0,38.0,14.0,0.0
2011월Camry남20대,6,295,106664,3.4,0.8,0.0,0.0,0.0,0.0,0.0,2020.0,11월,4.0,4.0,12.0,4.0,14.0,6.0,0.0
2011월Camry남30대,7,295,153982,5.5,0.4,0.0,0.0,0.0,0.0,0.0,2020.0,11월,32.0,10.0,28.0,34.0,40.0,18.0,0.0
2011월Camry남40대,13,295,292772,9.8,1.2,0.0,0.0,0.0,0.0,0.0,2020.0,11월,46.0,10.0,29.0,24.0,36.0,16.0,19.0
2011월Camry남50대,16,295,326015,11.3,1.7,0.0,0.0,0.0,0.0,0.0,2020.0,11월,62.0,21.0,64.0,62.0,84.0,42.0,0.0
2011월Camry남60대이상,11,295,249478,7.6,0.8,0.0,0.0,0.0,0.0,0.0,2020.0,11월,36.0,21.0,44.0,40.0,68.0,20.0,0.0
2011월RAV4여20대,13,613,218092,5.9,1.6,0.9,0.0,0.0,0.0,0.0,2020.0,11월,4.0,1.0,2.0,0.0,0.0,2.0,0.0
2011월RAV4여30대,41,613,752505,21.3,4.6,2.0,0.7,0.0,0.0,0.0,2020.0,11월,7.0,29.0,24.0,14.0,14.0,10.0,0.0
2011월RAV4여40대,46,613,970040,28.0,4.2,0.9,0.0,0.0,0.0,0.0,2020.0,11월,23.0,36.0,26.0,34.0,26.0,26.0,0.0
2011월RAV4여50대,39,613,812829,24.0,4.4,0.6,0.4,0.2,0.0,0.0,2020.0,11월,26.0,32.0,20.0,26.0,42.0,14.0,0.0
2011월RAV4여60대이상,35,613,899287,17.9,2.6,1.3,0.9,0.7,0.1,0.1,2020.0,11월,5.0,18.0,12.0,10.0,10.0,2.0,0.0
2011월RAV4남20대,7,613,136919,5.9,0.3,0.0,0.0,0.0,0.0,0.0,2020.0,11월,6.0,7.0,2.0,4.0,8.0,14.0,0.0
2011월RAV4남30대,21,613,403756,12.9,2.2,0.0,0.0,0.0,0.0,0.0,2020.0,11월,34.0,60.0,48.0,52.0,52.0,70.0,0.0
2011월RAV4남40대,43,613,912268,25.0,4.9,0.8,0.3,0.3,0.0,0.0,2020.0,11월,38.0,79.0,33.0,29.0,27.0,20.0,23.0
2011월RAV4남50대,36,613,742112,18.2,4.2,1.4,0.4,0.4,0.0,0.0,2020.0,11월,44.0,82.0,64.0,42.0,68.0,54.0,0.0
2011월RAV4남60대이상,35,613,774492,21.2,3.4,0.7,0.2,0.0,0.0,0.0,2020.0,11월,35.0,50.0,28.0,44.0,66.0,56.0,0.0
2011월Supra여20대,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,11월,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2011월Supra여40대,0,16,9708,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,11월,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2011월Supra여50대,0,16,3137,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,11월,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2011월Supra남20대,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,11월,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2011월Supra남30대,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,11월,0.0,0.0,0.0,2.0,4.0,4.0,0.0
2011월Supra남40대,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,11월,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2011월Supra남50대,2,16,45570,1.6,0.1,0.0,0.0,0.0,0.0,0.0,2020.0,11월,0.0,0.0,0.0,4.0,2.0,0.0,0.0
2011월Supra남60대이상,3,16,68948,1.8,0.3,0.0,0.0,0.0,0.0,0.0,2020.0,11월,0.0,0.0,0.0,0.0,0.0,2.0,0.0
